"","x"
"1496","groupI"
"1497","groupI"
"1498","groupI"
"1499","groupI"
"1500","groupI"
"1501","groupI"
"1502","groupI"
"1503","groupI"
"1504","groupI"
"1505","groupI"
"1506","groupI"
"1507","groupI"
"1508","groupI"
"1509","groupI"
"1510","groupI"
"1511","groupI"
"1512","groupI"
"1513","groupI"
"1514","groupI"
"1515","groupI"
"1516","groupI"
"1517","groupI"
"1518","groupI"
"1519","groupI"
"1520","groupI"
"1521","groupI"
"1522","groupI"
"1523","groupI"
"1524","groupI"
"1525","groupI"
"1526","groupI"
"1527","groupI"
"1528","groupI"
"1529","groupI"
"1530","groupI"
"1531","groupI"
"1532","groupI"
"1533","groupI"
"1534","groupI"
"1535","groupI"
"1536","groupI"
"1537","groupI"
"1538","groupI"
"1539","groupI"
"1540","groupI"
"1541","groupI"
"1542","groupI"
"1543","groupI"
"1544","groupI"
"1545","groupI"
"1546","groupI"
"1547","groupI"
"1548","groupI"
"1549","groupI"
"1550","groupI"
"1551","groupI"
"1552","groupI"
"1553","groupI"
"1554","groupI"
"1555","groupI"
"1556","groupI"
"1557","groupI"
"1558","groupI"
"1559","groupI"
"1560","groupI"
"1561","groupI"
"1562","groupI"
"1563","groupI"
"1564","groupI"
"1565","groupI"
"1566","groupI"
"1567","groupI"
"1568","groupI"
"1569","groupI"
"1570","groupI"
"1571","groupI"
"1572","groupI"
"1573","groupI"
"1574","groupI"
"1575","groupI"
"1576","groupI"
"1577","groupI"
"1578","groupI"
"1579","groupI"
"1580","groupI"
"1581","groupI"
"1582","groupI"
"1583","groupI"
"1584","groupI"
"1585","groupI"
"1586","groupI"
"1587","groupI"
"1588","groupI"
"1589","groupI"
"1590","groupI"
"1591","groupI"
"1592","groupI"
"1593","groupI"
"1594","groupI"
"1595","groupI"
"1596","groupI"
"1597","groupI"
"1598","groupI"
"1599","groupI"
"1600","groupI"
"1601","groupI"
"1602","groupI"
"1603","groupI"
"1604","groupI"
"1605","groupI"
"1606","groupI"
"1607","groupI"
"1608","groupI"
"1609","groupI"
"1610","groupI"
"1611","groupI"
