File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
22-095_E8_before,22-095,E8,04/16/18,1140,AF , BF,before,0,25,9,19211,280788,92178,207819,17709,1502,106326,193672,25234,none
22-095_E8_before,22-095,E8,04/16/18,1140,AF , BF,before,1,11,6,155763,144237,83005,216995,59733,96030,195347,104653,0,none
25-081_E1_before,25-081,E1,04/09/18,1120,BF , AF,before,0,9,3,180219,119780,10925,289072,0,180217,175324,124674,0,none
25-081_E1_before,25-081,E1,04/09/18,1120,BF , AF,before,1,1,1,3e+05,0,0,3e+05,0,3e+05,3e+05,0,0,none
25-081_E2_before,25-081,E2,04/09/18,1146,AF , BF,before,0,1,1,244387,55612,145483,154515,101471,142915,0,299997,0,none
25-081_E2_before,25-081,E2,04/09/18,1146,AF , BF,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
25-081_E3_before,25-081,E3,04/09/18,1512,AF,BF,before,0,4,4,122271,177726,106192,193807,12893,109378,82763,217235,54675,freeze / fast start
25-081_E3_before,25-081,E3,04/09/18,1512,AF,BF,before,1,13,6,54188,245812,84203,215797,4142,50046,50063,249937,86104,freeze / fast start
25-081_E4_before,25-081,E4,04/09/18,1539,BF,AF,before,0,16,8,237418,62581,135158,164839,130038,107378,2543,297455,7394,fast start / freeze
25-081_E4_before,25-081,E4,04/09/18,1539,BF,AF,before,1,2,2,279508,20492,197038,102962,193779,85729,0,3e+05,40408,fast start / freeze
25-081_E5_before,25-081,E5,04/10/18,1322,BF , AF,before,0,1,1,299998,0,0,299997,0,299997,299999,0,0,jerky swim
25-081_E5_before,25-081,E5,04/10/18,1322,BF , AF,before,1,3,3,249514,50486,138605,161395,132992,116522,135174,164826,0,jerky swim
25-081_E6_before,25-081,E6,04/10/18,1347,AF , BF,before,0,28,7,15607,284390,202412,97587,15607,0,53191,246807,69031,none
25-081_E6_before,25-081,E6,04/10/18,1347,AF , BF,before,1,6,3,177712,122288,259659,40341,177712,0,6656,293344,0,none
25-081_E7_before,25-081,E7,04/10/18,1524,AP,SR,before,0,7,3,176517,123482,16250,283748,0,176517,193370,106627,0,Jerky swim
25-081_E7_before,25-081,E7,04/10/18,1524,AP,SR,before,1,21,8,2840,297160,13966,286034,0,2840,258763,41237,0,Jerky swim
25-081_E8_before,25-081,E8,04/10/18,1614,SR,AP,before,0,2,2,294496,5501,0,299999,0,294496,0,299998,0,jerky swim
25-081_E8_before,25-081,E8,04/10/18,1614,SR,AP,before,1,17,5,74337,225663,86298,213702,12463,61874,80554,219446,0,jerky swim
26-077_E1_before,26-077,E1,03/26/18,1121,AF, BF,before,0,34,8,78217,221780,31976,268023,0,78217,108935,191063,12452,freeze
26-077_E1_before,26-077,E1,03/26/18,1121,AF, BF,before,1,7,4,266534,33466,43106,256894,34227,232307,244886,55114,39900,freeze
26-077_E2_before,26-077,E2,03/26/18,1153,AF, BF,before,0,8,6,158954,141045,57365,242633,23736,135217,16564,283433,69567,jerky swim
26-077_E2_before,26-077,E2,03/26/18,1153,AF, BF,before,1,30,9,34837,265163,41341,258659,0,34837,43716,256284,14133,jerky swim
26-077_E3_before,26-077,E3,03/26/18,1506,AF , BF,before,0,11,7,269179,30818,0,299999,0,269179,295728,4270,0,jerky swim
26-077_E3_before,26-077,E3,03/26/18,1506,AF , BF,before,1,1,1,293438,6562,0,3e+05,0,293438,295840,4160,0,jerky swim
26-077_E4_before,26-077,E4,03/26/18,1531,AF , BF,before,0,14,9,49134,250863,124671,175328,33221,15913,33341,266657,6390,none
26-077_E4_before,26-077,E4,03/26/18,1531,AF , BF,before,1,19,9,229277,70723,145311,154689,107664,121613,65374,234626,0,none
26-077_E5_before,26-077,E5,03/27/18,1316,AF,BF,before,0,5,3,206099,93899,204342,95657,168158,37941,29008,270989,0,fast start / freeze 
26-077_E5_before,26-077,E5,03/27/18,1316,AF,BF,before,1,13,7,111638,188362,28756,271244,0,111638,201442,98558,1363,fast start / freeze 
26-077_E6_before,26-077,E6,03/27/18,1343,AF,BF,before,0,22,8,225791,74208,0,299997,0,225789,223973,76025,0,jerky swim / freeze
